교과,학년군,성취기준코드,평가요소,상,중,하
국어,1-2학년군,[2국03-01],글자 쓰기 자세 및 태도,□ 바른 자세로 앉고 □ 연필을 바르게 잡으며 □ 처음부터 끝까지 바른 자세를 유지하는 경우,□ 대부분 바른 자세를 유지 하고 □ 연필 잡는 법이 안정적인 경우,"자세나 연필 잡는 법이 가끔 흐트러지지만, 교사의 안내에 따라 고치는 경우"
국어,1-2학년군,[2국03-02],글자 쓰기 자세 및 태도,□ 바른 자세로 앉고 □ 연필을 바르게 잡으며 □ 처음부터 끝까지 바른 자세를 유지하는 경우,□ 대부분 바른 자세를 유지 하고 □ 연필 잡는 법이 안정적인 경우,"자세나 연필 잡는 법이 가끔 흐트러지지만, 교사의 안내에 따라 고치는 경우"
국어,1-2학년군,[2국03-01],글자 형태의 정확성,"□ 글자의 모양과 크기가 정확 하고 일정하며, □ 획의 방향과 순서가 바르게 글씨를 쓰는 경우",□ 글자의 모양이 대체로 일정하고 □ 획의 방향과 순서가 잘 드러나는 경우,"글자의 모양을 또박또박 쓰려 노력하며, 모양과 순서를 점차 익혀 가고 있는 경우"
국어,1-2학년군,[2국03-02],글자 형태의 정확성,"□ 글자의 모양과 크기가 정확 하고 일정하며, □ 획의 방향과 순서가 바르게 글씨를 쓰는 경우",□ 글자의 모양이 대체로 일정하고 □ 획의 방향과 순서가 잘 드러나는 경우,"글자의 모양을 또박또박 쓰려 노력하며, 모양과 순서를 점차 익혀 가고 있는 경우"
국어,1-2학년군,[2국03-01],단어 및 문장 구성의 정확성,"단어를 정확히 쓰고, 문장의 띄어쓰기와 맞춤법이 모두 정확한 경우","단어와 문장을 대부분 바르게 쓰며, 의미가 잘 전달되는 경우","단어와 문장을 쓰려는 의지를 보이며, 의미가 드러나도록 노력하는 경우"
국어,1-2학년군,[2국03-02],단어 및 문장 구성의 정확성,"단어를 정확히 쓰고, 문장의 띄어쓰기와 맞춤법이 모두 정확한 경우","단어와 문장을 대부분 바르게 쓰며, 의미가 잘 전달되는 경우","단어와 문장을 쓰려는 의지를 보이며, 의미가 드러나도록 노력하는 경우"
국어,1-2학년군,[2국03-01],생각이나 느낌 표현 능력,겪은 일이나 느낌을 구체적 으로 떠올리고 문장으로 자연스럽게 표현하는 경우,겪은 일이나 느낌을 문장으로 명확하게 표현하는 경우,"겪은 일이나 느낌을 짧은 문장으로 표현하며, 표현 하려는 의지를 보이는 경우"
국어,1-2학년군,[2국03-02],생각이나 느낌 표현 능력,겪은 일이나 느낌을 구체적 으로 떠올리고 문장으로 자연스럽게 표현하는 경우,겪은 일이나 느낌을 문장으로 명확하게 표현하는 경우,"겪은 일이나 느낌을 짧은 문장으로 표현하며, 표현 하려는 의지를 보이는 경우"
국어,1-2학년군,[2국03-01],쓰기 흥미와 참여 태도,"쓰기에 즐겁게 참여하며, 스스로 생각을 떠올려 표현 하는 경우","쓰기에 관심을 가지고 적극적 으로 참여하며, 자신의 생각을 표현하는 경우","쓰기에 즐겁게 참여하며, 안내에 따라 자신의 생각을 쓰는 경우"
국어,1-2학년군,[2국03-02],쓰기 흥미와 참여 태도,"쓰기에 즐겁게 참여하며, 스스로 생각을 떠올려 표현 하는 경우","쓰기에 관심을 가지고 적극적 으로 참여하며, 자신의 생각을 표현하는 경우","쓰기에 즐겁게 참여하며, 안내에 따라 자신의 생각을 쓰는 경우"
국어,1-2학년군,[2국02-04],인물의 마음과 생각을 이해하고 짐작하기,인물의 생각을 각각 정확하게 서술하고 지문의 말이나 행동을 근거로 까닭을 구체적 으로 제시한 경우,인물의 생각을 각각 정확하게 서술했으나 까닭을 간단하게 제시한 경우,□ 한 인물의 생각과 까닭만 정확하게 쓴 경우 □ 생각이나 까닭 중 한 가지만 정확하게 쓴 경우
국어,1-2학년군,[2국03-02],인물의 마음과 생각을 이해하고 짐작하기,인물의 생각을 각각 정확하게 서술하고 지문의 말이나 행동을 근거로 까닭을 구체적 으로 제시한 경우,인물의 생각을 각각 정확하게 서술했으나 까닭을 간단하게 제시한 경우,□ 한 인물의 생각과 까닭만 정확하게 쓴 경우 □ 생각이나 까닭 중 한 가지만 정확하게 쓴 경우
국어,1-2학년군,[2국06-02],인물의 마음과 생각을 이해하고 짐작하기,인물의 생각을 각각 정확하게 서술하고 지문의 말이나 행동을 근거로 까닭을 구체적 으로 제시한 경우,인물의 생각을 각각 정확하게 서술했으나 까닭을 간단하게 제시한 경우,□ 한 인물의 생각과 까닭만 정확하게 쓴 경우 □ 생각이나 까닭 중 한 가지만 정확하게 쓴 경우
국어,1-2학년군,[2국02-04],인물의 생각을 자신의 생각과 비교하기,자신이 선택한 의견과 까닭을 한 문장 이상으로 명확하게 제시하고 자신의 생각이 인물의 생각과 어떤 점이 비슷하거나 다른지 자연 스럽게 드러나게,"자신이 선택한 의견과 까닭을 문장으로 제시하였으나 까닭을 일반적인 표현(착해서, 불쌍해서 등)으로 제시한 경우",의견을 선택하였으나 □ 까닭을 지문의 내용과 연 결제어 제시하지 못한 경우 □ 까닭을 제시하려는 지도는 있었으나 느낌만 제시한 경우
국어,1-2학년군,[2국03-02],인물의 생각을 자신의 생각과 비교하기,자신이 선택한 의견과 까닭을 한 문장 이상으로 명확하게 제시하고 자신의 생각이 인물의 생각과 어떤 점이 비슷하거나 다른지 자연 스럽게 드러나게,"자신이 선택한 의견과 까닭을 문장으로 제시하였으나 까닭을 일반적인 표현(착해서, 불쌍해서 등)으로 제시한 경우",의견을 선택하였으나 □ 까닭을 지문의 내용과 연 결제어 제시하지 못한 경우 □ 까닭을 제시하려는 지도는 있었으나 느낌만 제시한 경우
국어,1-2학년군,[2국06-02],인물의 생각을 자신의 생각과 비교하기,자신이 선택한 의견과 까닭을 한 문장 이상으로 명확하게 제시하고 자신의 생각이 인물의 생각과 어떤 점이 비슷하거나 다른지 자연 스럽게 드러나게,"자신이 선택한 의견과 까닭을 문장으로 제시하였으나 까닭을 일반적인 표현(착해서, 불쌍해서 등)으로 제시한 경우",의견을 선택하였으나 □ 까닭을 지문의 내용과 연 결제어 제시하지 못한 경우 □ 까닭을 제시하려는 지도는 있었으나 느낌만 제시한 경우
국어,1-2학년군,[2국02-04],자신의 생각과 까닭을 문장으로 표현하기,조건에 따라 상황 제시- 내 마음 표현- 친구의 마음 짐작하기-마무리의 흐름이 잘 드러나게 작성한 경우,자신의 경험을 비교적 구체적 으로 작성하였으나,자신의 경험을 작성하였으나
국어,1-2학년군,[2국03-02],자신의 생각과 까닭을 문장으로 표현하기,조건에 따라 상황 제시- 내 마음 표현- 친구의 마음 짐작하기-마무리의 흐름이 잘 드러나게 작성한 경우,자신의 경험을 비교적 구체적 으로 작성하였으나,자신의 경험을 작성하였으나
국어,1-2학년군,[2국06-02],자신의 생각과 까닭을 문장으로 표현하기,조건에 따라 상황 제시- 내 마음 표현- 친구의 마음 짐작하기-마무리의 흐름이 잘 드러나게 작성한 경우,자신의 경험을 비교적 구체적 으로 작성하였으나,자신의 경험을 작성하였으나
국어,3-4학년군,[4국04-03],누가/무엇이에 해당하는 낱말 찾기,제시된 낱말 중 주어부 (누가/무엇이)에 해당하는 낱말 7개를 모두 정확하게 찾아 표시한 경우,제시된 낱말 중 주어부 (누가/무엇이)에 해당하는 낱말 6개를,교사의 도움이나 안내를 받아 제시된 낱말 중 주어부 (누가/무엇이)에 해당하는 낱말 4개 정도를 찾아 표시한 경우
국어,3-4학년군,[4국04-03],서술어부의 세 가지 형태 구분하고 설명하기,"세 가지 서술어부 형태를 모두 정확히 구분하고, 각 형태의 특징을 정확히 말한 경우","세 가지 중 두 가지 형태 정도를 정확히 구분하고, 특징도 대체로 알맞게 표현 한 경우","교사의 도움을 받아 일부 형태를 구분하거나, 특징을 □ 잘못 이해한 경우 □ 제시하지 못한 경우"
국어,3-4학년군,[4국04-03],그림에 어울리는 문장을 문장에 짜임에 맞게 문장 만들기,그림 상황에 맞는 문장을 세 가지 짜임 모두에 맞게 창의적이고 정확하게 표현한 경우,세 가지 중 일부 문장은 □ 그림 상황에 적절하지 않은 경우 □ 문장 짜임에 다소 어긋난 경우,교사의 안내를 받아 그림과 관련된 문장을 기본 형태로 구성한 경우
국어,5-6학년군,[6국03-03],기행문의 요소 이해하기,"기행문의 세 요소인 여정, 견문, 감상을 파악하고 의미를 모두 명확하게 설명한 경우",기행문의 세 요소 중 두가지는 정확하게 파악하고 설명 했으나 나머지 한 가지 요소에 대해서는 □ 썼으나 틀린 경우 □ 설명하지 못한 경우,기행문의 세 요소 중 한가지만 정확하게 파악하고 설명 했으나 나머지 두 가지 요소에 대해서는 □ 썼으나 틀린 경우 □ 설명하지 못한 경우
국어,5-6학년군,[6국03-03],기행문의 요소 구별하기,"기행문을 읽고 여정, 견문, 감상이 드러나는 문장을 각각 2개 이상 정확히 찾아 표시한 경우","기행문을 읽고 여정, 견문, 감상이 드러나는 문장을 대 부분(2개씩은 아님) 찾아내 었으나 일부 □ 찾았으나 틀린 경우 □찾지 못한 경우","기행문을 읽고 여정, 견문, 감상이 드러나는 문장을 □ 각 요소별로 1개씩만 찾은 경우 □ 2개를 찾았더라고 여러 군데에서 오류가 있는 경우"
국어,5-6학년군,[6국03-03],"여정, 견문, 감상이 드러나는 기행문 쓰기","글에서 여정, 견문,","기행문에서 여정, 견문, 감상과 처음-가운데-끝의 구조가 대체적으로 잘 드러나 있으나","여정, 견문, 감상 중 일부 요소만 드러나게 기행문을 쓰고 글의 구조가 부분적 으로만 갖추어져 전개가 매끄럽지 않은 경우"
국어,5-6학년군,[6국06-03],매체 자료 정보를 파악하여 내용 정리하기,신문을 보고 제시된 문제 상황을 정확하게 파악하고 인터넷 댓글 폐지에 대한 찬성 측과 반대 측 근거를 찾아 정확하게 정리하는 경우,신문을 보고 제시된 문제 상황을 정확하게 파악하고 인터넷 댓글 폐지에 대한 찬성 측과 반대 측 근거를,신문을 보고 제시된 문제 상황을 파악하고 인터넷 댓글 폐지에 대한 찬성 측과 반대 측 근거를
국어,5-6학년군,[6국03-06],매체 자료 정보를 파악하여 내용 정리하기,신문을 보고 제시된 문제 상황을 정확하게 파악하고 인터넷 댓글 폐지에 대한 찬성 측과 반대 측 근거를 찾아 정확하게 정리하는 경우,신문을 보고 제시된 문제 상황을 정확하게 파악하고 인터넷 댓글 폐지에 대한 찬성 측과 반대 측 근거를,신문을 보고 제시된 문제 상황을 파악하고 인터넷 댓글 폐지에 대한 찬성 측과 반대 측 근거를
국어,5-6학년군,[6국06-03],발표 주제와 관련된 자료를 조사하여 정리하기,두 가지 제시된 자료 중 한 가지 선택하여 제시된 발표 정리 구성에 맞게 자료 내용 요약을 세 문장으로 정리하고 출처를 정확하게 표기하는 경우,두 가지 제시된 자료 중 한 가지 선택하여 자료 내용 요약을 두 문장만 맞게 정리 하고 출처를 정확하게 표기 하는 경우,두 가지 제시된 자료 중 한 가지 선택하여 자료 내용 요약을 한 문장만 맞게 정리 하고 출처를 표기하는 경우
국어,5-6학년군,[6국03-06],발표 주제와 관련된 자료를 조사하여 정리하기,두 가지 제시된 자료 중 한 가지 선택하여 제시된 발표 정리 구성에 맞게 자료 내용 요약을 세 문장으로 정리하고 출처를 정확하게 표기하는 경우,두 가지 제시된 자료 중 한 가지 선택하여 자료 내용 요약을 두 문장만 맞게 정리 하고 출처를 정확하게 표기 하는 경우,두 가지 제시된 자료 중 한 가지 선택하여 자료 내용 요약을 한 문장만 맞게 정리 하고 출처를 표기하는 경우
국어,5-6학년군,[6국06-03],발표 장면을 고려하며 발표자료 완성하기,친구들의 앞에 발표하는 상황을 고려하여 발표 준비 단계에서 조사한 자료를 바탕으로 세 가지 조건에 맞게 발표 자료와 발표 내용을 완성하는 경우,친구들의 앞에 발표하는 상황을 고려하여 발표 준비 단계에서 조사한 자료를 바탕 으로 두 가지 조건에 맞게 발표 자료와 발표 내용을 완성 하는,친구들의 앞에 발표하는 상황을 고려하여 발표 준비 단계에서 조사한 자료를 바탕으로 한 가지 조건에 맞게 발표 자료와 발표 내용을 완성하는 경우
국어,5-6학년군,[6국03-06],발표 장면을 고려하며 발표자료 완성하기,친구들의 앞에 발표하는 상황을 고려하여 발표 준비 단계에서 조사한 자료를 바탕으로 세 가지 조건에 맞게 발표 자료와 발표 내용을 완성하는 경우,친구들의 앞에 발표하는 상황을 고려하여 발표 준비 단계에서 조사한 자료를 바탕 으로 두 가지 조건에 맞게 발표 자료와 발표 내용을 완성 하는,친구들의 앞에 발표하는 상황을 고려하여 발표 준비 단계에서 조사한 자료를 바탕으로 한 가지 조건에 맞게 발표 자료와 발표 내용을 완성하는 경우
국어,5-6학년군,[6국06-03],자기 생각이 드러나게 발표자료 완성하기,인터넷 댓글에 대한 자신의 주장과 그에 알맞은 타당한 근거를 제시한 후 발표 정리 마무리까지 포함,인터넷 댓글에 대한 자신의 주장과 타당한 근거를 제시한 후 발표 정리 마무리까지 포함 하여 발표 끝맺음 장면의 발표 내용을 작성하는 경우,인터넷 댓글에 대한 자신의 주장과 근거를 제시한 후 발표 정리 마무리까지 포함하여 발표 끝맺음 장면의 발표 내용을 일부 맞게 작성하는 경우
국어,5-6학년군,[6국03-06],자기 생각이 드러나게 발표자료 완성하기,인터넷 댓글에 대한 자신의 주장과 그에 알맞은 타당한 근거를 제시한 후 발표 정리 마무리까지 포함,인터넷 댓글에 대한 자신의 주장과 타당한 근거를 제시한 후 발표 정리 마무리까지 포함 하여 발표 끝맺음 장면의 발표 내용을 작성하는 경우,인터넷 댓글에 대한 자신의 주장과 근거를 제시한 후 발표 정리 마무리까지 포함하여 발표 끝맺음 장면의 발표 내용을 일부 맞게 작성하는 경우
사회,3-4학년군,[4사01-02],살기 좋은 곳의 조건 설명하기,살기 좋은 곳의 조건을 구체적 으로 설명한 경우,살기 좋은 곳의 조건을 설명한 경우,살기 좋은 곳의 조건이 부분적 으로 드러나도록 설명한 경우
사회,3-4학년군,[4사07-01],자원의 희소성으로 인해 선택의 문제가 발생함을 이해하기,"선택할 수 있는 과일을 두 가지 정확하게 고르고, 자원의 희소성의 의미를 아래 단어들을 모두 제시하여 정확하게 쓴 경우","선택할 수 있는 과일을 두 가지 정확하게 고르고, 자원의 희소성의 의미를 아래 두 가지 단어를 제시 하여 일부 맞게 쓴 경우","선택할 수 있는 과일을 한 가지 또는 두 가지 맞게 고르고, 자원의 희소성의 의미를 아래 두 가지 단어를 제시하여 일부 맞게 쓴 경우"
사회,3-4학년군,[4사07-01],경제활동에서 합리적 선택의 방법 탐색하기,"주어진 항목을 정확하게 썼 으며, 표의 내용에 적절한 종합평가를 한 경우","주어진 항목 중 한 가지를 맞게 썼으며, 표의 내용에 적절한 종합평가를 한 경우",□ 주어진 항목 중 한 가지를 맞게 썼으나 종합평가가 적절하지 않은 경우 □ 주어진 항목을 모두 쓰지 못했으나 적절한 종합 평가를 한 경우
사회,3-4학년군,[4사07-01],합리적 선택을 하고 그 까닭 쓰기,"표의 비교 결과를 바탕으로 두 가지 이상의 기준(가격, 용량 등)에 따라 자신의 선택과 이유를 구체적이고 논리적으로 쓴 경우",자신의 선택과 이유를 서술 하였으나 한 가지 기준을 제시하여 쓴 경우,"단순한 선호나 감정적 이유 (“예뻐서”, “그냥 좋아서” 등)만 제시하여 쓴 경우"
사회,5-6학년군,[6사02-02],인구밀도가 높은 지역과 낮은 지역의 문제점 알아보기,인구 밀도가 높은 지역과 낮은 지역의 문제점을 정확 하고 구체적으로 서술한 경우,인구 밀도가 높은 지역과 낮은 지역의 문제점을 대체적으로 정확하게 서술한 경우,인구 밀도가 높은 지역과 낮은 지역의 문제점을 일부만 알맞게 서술한 경우
사회,5-6학년군,[6사02-02],해결방안 제안하기,"인구 불균형 해결을 위한 적절한 접근 방법을 선택 하여 정책 내용과 기대 효과를 구체적으로 서술하고,","인구 불균형 해결을 위한 적절한 접근 방법을 선택 하여 정책 내용과 기대 효과를 서술하였으나,",인구 불균형 해결을 위한 접근 방법 선택이 적절하지 않은 경우
사회,5-6학년군,[6사07-01],분단으로 나타난 문제점 이해하기,지속된 분단으로 인한 문제점 두 가지를 모두 정확 하고 구체적으로 서술한 경우,지속된 분단으로 인한 문제점 두 가지를 비교적 타당하게 서술한 경우,"지속된 분단으로 인한 문제점 두 가지를 모두 작성했으나, 정확성이 부족한 경우"
사회,5-6학년군,[6사07-01],평화 통일을 위한 노력 알아보기,"남북 언어 차이, 이산가족 문제 해결과 관련된 평화 통일을 위한 노력 두 가지 모두 정확하고, 타당하게 서술한 경우","남북 언어 차이, 이산가족 문제 해결과 관련된 평화 통일을 위한 노력 두 가지를 비교적 타당하게 서술한 경우","남북 언어 차이, 이산가족 문제 해결과 관련된 평화 통일을 위한 노력 두 가지를 모두 서술했으나, 타당성이 부족한 경우"
사회,5-6학년군,[6사07-01],남북 통일 후의 변화 설명하기,"두 지역 모두에 대해 지역 사람들이 겪는 어려움과 통일 후 변화(좋아지는 점)를 정확하고, 구체적으로 서술한 경우","두 지역 중 한 지역의 어려움과 변화(좋아지는 점)는 정확히 설명했으나,",두 지역 중 한 지역의 어려움과 통일 후 변화 (좋아지는 점)만 비교적 정확히 제시한 경우
사회,5-6학년군,[6사07-01],평화 통일의 필요성을 알리는 글쓰기,"보기에 제시된 낱말 중 세 가지를 선택하여 평화 통일의 필요성에 대한 타당한 근거 세 가지를 제시 하고,",보기에 제시된 낱말 중 세 가지를 선택하고 평화 통일의 필요성에 대한 근거를,보기에 제시된 낱말 중 평화 통일의 필요성에 대한
수학,1-2학년군,[2수03-01],"직육면체, 구, 원기둥의 모양을 구분하여 로봇 만들기","여러 가지 물체들 중 직육면체, 구, 원기둥의 모양을 정확하게 찾아 구분하고, 로봇을 만들어 명확하게 소개한 경우","여러 가지 물체들 중 직육면체, 구, 원기둥의 모양을 구분할 수 있으며, 자신이 만든 로봇을 소개 할 수 있는 경우","직육면체, 구, 원기둥의 모양을 알고 있으나 구분 하는 것에 실수가 있으며, 로봇을 만들 수 있으나 소개하는 것에 어려움을 느낀 경우"
수학,1-2학년군,[2수03-01],일상 생활 속에서 여러 가지 모양 구분하고 특징 말하기,"일상생활 속에서 직육면체, 구, 원기둥 모양을 정확히 찾아 구별하고,","일상생활 속에서 직육면체, 구, 원기둥 모양을 바르게 구별하고, 각 모양의 특징을 말할 수 있는 경우","사물을 보고 모양을 직관적 으로 구분할 수는 있으나, 모양의 구체적인 특징을 언어로 표현하는데 어려움이 있거나 일부 모양을 혼돈한 경우"
수학,1-2학년군,[2수04-01],분류 기준의 필요성 설명하기,분류할 때 분명한 기준이 필요한 이유와 어떤 것을 기준으로 세워야 하는지를 모두 정확하게 설명한 경우,분류할 때 분명한 기준이 필요한 이유와 어떤 것을 기준으로 세워야 하는지를 설명한 경우,분류할 때 □ 분명한 기준이 필요한 이유를 설명한 경우 □ 어떤 것을 기준으로 세워야 하는지 설명한 경우
수학,3-4학년군,[4수01-03],세 자리 수의 덧셈과 뺄셈 계산 원리 설명하기,세 자리 수의 덧셈과 뺄셈을 할 때 받아올림과 받아 내림의 계산 원리를 이해 하고 연산 과정에서 틀린 부분을 정확하게 찾아 이유와 함,"세 자리 수의 덧셈과 뺄 셈을 할 때 받아올림과 받아내림의 계산 원리를 대체로 이해하고 있으며, 연산 과정에서 틀린 부분을 고칠 수 있는 경우",받아올림이나 받아내림의 계산 원리를 알지만 연산 과정에서 틀린 부분을 정확 하게 설명하지 못한 경우
수학,3-4학년군,[4수01-08],세 자리 수의 덧셈과 뺄셈 계산 원리 설명하기,세 자리 수의 덧셈과 뺄셈을 할 때 받아올림과 받아 내림의 계산 원리를 이해 하고 연산 과정에서 틀린 부분을 정확하게 찾아 이유와 함,"세 자리 수의 덧셈과 뺄 셈을 할 때 받아올림과 받아내림의 계산 원리를 대체로 이해하고 있으며, 연산 과정에서 틀린 부분을 고칠 수 있는 경우",받아올림이나 받아내림의 계산 원리를 알지만 연산 과정에서 틀린 부분을 정확 하게 설명하지 못한 경우
수학,3-4학년군,[4수01-03],생활 속 덧셈과 뺄셈 문제 해결하기,생활 속에서 세 자리 수의 덧셈과 뺄셈의 연산이 필요한 문제를 식을 세워 정확하게 계산하고 자신의 생각을 잘 말한 경우,생활 속 문제를 보고 식을 바르게 세우고 계산할 수 있는 경우,"생활 속 문제의 뜻은 이해 하지만, 식이나 계산에서 실수가 있는 경우"
수학,3-4학년군,[4수01-08],생활 속 덧셈과 뺄셈 문제 해결하기,생활 속에서 세 자리 수의 덧셈과 뺄셈의 연산이 필요한 문제를 식을 세워 정확하게 계산하고 자신의 생각을 잘 말한 경우,생활 속 문제를 보고 식을 바르게 세우고 계산할 수 있는 경우,"생활 속 문제의 뜻은 이해 하지만, 식이나 계산에서 실수가 있는 경우"
수학,3-4학년군,[4수01-07],몫 결정 과정 이해,"･ 몫을 구할 때 비교 곱셈 관계를 활용하여 논리적 으로 설명하고, 몫을 지 나치게 크거나 작게 잡지 않은 경우","몫을 정하는 과정에서 비교나 곱셈을 활용할 수 있으며, 대부분 올바른 몫을 선택하나 설명은 다소 단순한 경우",몫을 정하는 과정에서 곱셈 과의 관계 활용이 부분적 으로만 이루어지며 때때로 조정이 필요한 경우
수학,3-4학년군,[4수01-07],나머지 이해,"나머지가 의미하는 바를 상황과 연결해 정확하게 해석하며, 모든 문제 상황 에서 적절하게 해석한 경우",나머지의 의미를 설명할 수 있으며 대부분의 문제 상황에서 적절하게 해석 한 경우,"나머지의 의미를 기본적으로 알고 있으나, 구체적 상황과 연결하여 설명하는 데는 어려움이 있는 경우"
수학,3-4학년군,[4수01-07],･ 설명 표현 능력,나눗셈 계산 문제 상황에 적합한 ‘(세 자리 수)÷(두 ʼ 자리 수) 식을 구성하여 풀이 과정과 이유를 모두 정확하게 제시하며 해결 한 경우,나눗셈 계산 문제 상황에 적합한 ‘(세 자리 수)÷(두 ʼ 자리 수) 식을 구성하여 문제를 해결하는데,나눗셈 계산 문제 상황에 적합한 ‘(세 자리 수)÷(두 ʼ 자리 수) 식을 구성하여 문제를 해결하는데 풀이 과정이 틀리고 이유가 불 명확한 경우
수학,5-6학년군,[6수04-02],띠그래프 해석하기,띠그래프를 보고 알 수 있는 사실을 조건 두 가지를 모두 고려하여 정확하게 이야기한 경우,띠그래프를 보고 알 수 있는 사실을 조건 두 가지를 고려 하여 이야기한 경우,띠그래프를 보고 알 수 있는 사실을 조건 한 가지만 이야기한 경우
수학,5-6학년군,[6수04-02],자료를 수집하여 원그래프로 나타내기,"실생활 자료를 수집하고, 공학 도구를 알맞게 사용 하여 원그래프로 정확하게 나타낸 경우","실생활 자료를 수집하고, 공학 도구를 알맞게 사용 하여 원그래프로 나타낸 경우",□실생활 자료를 수집함. □ 공학 도구를 사용하여 원그래프로 나타낸 경우
과학,3-4학년군,[4과03-03],식물의 특징을 이용한 생활용품 설계하기,"제시된 문제를 해결하기 위한 식물의 특징을 정확히 제시하고,","식물의 특징을 바탕으로 자신의 아이디어를 표현하고, 제시된 문제에 대해 기본 적인 아이디어를 설계에 적용하려고 시도한 경우",식물의 이름과 특징의 일부를 설명하고 기본적인 아이디어를 그림이나 글로 표현한 경우
과학,3-4학년군,[4과03-03],다른 사람과 협력적으로 소통하기,"친구의 의견을 경청하고, 친구의 의견에서 식물의 특징과 좋은 점을 구체적 으로 표현한 경우",친구 의견을 존중하고 식물의 특징을 과학적으로 일부 설명 한 경우,친구의 의견을 듣고 대화를 이어가려는 태도를 보인 경우
과학,3-4학년군,[4과09-02],자석을 가까이했을 때 붙거나 밀어내는 현상 관찰하기,"･ 자석의 붙음 밀림 현상을 정확하게 구분하고, 자석의 ･ 극 개념(N극 S극)을 사용 하여 구체적으로 표현한 경우",･ 자석의 붙음 밀림 현상을 정확하게 구분하여 비교적 명확하게 표현한 경우,･ 자석의 붙음 밀림 중 일부 현상을 간단히 표현한 경우
과학,3-4학년군,[4과09-02],자석의 극 성질 이해하기,같은 극은 밀고 다른 극은 끌어당긴다는 성질을 정확히 이해하여 현상과 연결해 설명한 경우,극의 성질을 대체로 바르게 이해하여 현상과 연결해 설명한 경우,극의 성질을 부분적으로 이해 하여 간단히 설명한 경우
과학,5-6학년군,[6과03-02],실험 설계 및 변인 통제,"같게 해야 할 조건과 다르게 해야 할 조건을 명확히 구분 하고, 용액의 진하기를 비교 하기 위해 용질의 양만 달라야 함","다르게 해야 할 조건으로 용질의 양을 선택하고, 용질의 양을 달리하면 용액의 진하 기가 달라진다는 이유를 설명한 경우","다르게 해야 할 조건은 선택 하였으나, 이유 설명이 단순 하거나 실험 목표와의 연결이 부족한 경우"
과학,5-6학년군,[6과03-02],실험 절차 수행,"용질을 용해하는 실험 절차를 정확히 서술하고, 방울토마토가 떠오르는 정도를 관찰 하는 과정을 그림과 설명으로 구체적으로 표현한 경우","용질을 용해하는 실험절차를 서술하고, 방울토마토 관찰 장면을 그림으로 표현한 경우",용질을 용해하는 실험 절차 또는 방울토마토 관찰 과정 중 일부만 제시하거나 그림과 설명이 명확하지 않은 경우
과학,5-6학년군,[6과03-02],결론 도출 및 설명,"용질의 양에 따라 방울 토마토가 뜨는 위치가 달라 짐을 실험 결과 비교를 바탕 으로 도출하고, 그 관계를 논리적으로 설명한 경우","용질의 양과 방울토마토의 위치 관계를 제시하고, 물 속 중앙에 뜨기 위한 예상 각 설탕의 개수와 그 이유를 설명한 경우","예상 각설탕의 개수 또는 이유 설명이 불충분하거나, 실험 결과와의 연결이 약한 경우"
과학,5-6학년군,[6과03-02],과학개념과의 연계,"실험 탐구 결과를 바탕으로 소금물의 진하기 조절 방법을 설명하고, 용질의 양에 따른 용액의 진하기 변화와 연결 하여 두 상황(달걀 띄우기,",소금물의 진하기와 물체가 뜨는 현상을 연결하여 두 상황을 용액의 진하기 개념을 이용하여 설명한 경우,두 상황 중 하나만 실험 결과와 연결하여 설명하거나 설명이 단순한 경우
과학,5-6학년군,[6과09-02],용액 성질 변화 실험 결과를 바탕으로 추론하고 설명하기,용액의 색 변화 관찰 결과를 바탕으로 산성과 염기성 용액이 섞일 때 성질의 변화를 정확하게 추론하여 설명한 경우,용액의 색 변화를 통해 용액의 성질 변화를 대부분 추론하여 설명한 경우,용액의 색 변화와 용액의 성질 변화 간의 관계를 이해하려 노력한 경우
국어,5-6학년군,[6국02-01],책을 읽고 글의 구조 파악하기,책을 읽고 글의 구조를 고려하며 주제나 주장을 정확하게 파악하고 글의 내용을 자신의 언어로 중심 내용이 잘 드러 나게 요약할 수 있다.,책을 읽고 글의 구조를 고려하며 글의 내용을 자신의 언어 로 중심 내용이 드러나게 요약할 수 있다.,책을 읽고 글의 구조를 부분적으로 파악하여 글의 내용을 요약할 수 있다.
국어,5-6학년군,[6국05-04],작품에서 인상적인 부 분을 찾고 표현하기,작품에서 인상적인 부분을 찾아 그 이유를 작품의 내용과 연결하여 구체적으로 설명하고 다른 사람의 의견을 경청 하며 적극적으로 대화할 수 있다.,작품에서 인상적인 부분을 찾아 그 이유를 작품과 관련지 어 설명하고 다른 사람의 의견을 들으며 대화할 수 있다.,작품에서 인상적인 부분을 찾아 자신의 의견과 이유를 말 하고 다른 사람의 의견을 들으며 대화할 수 있다.
국어,5-6학년군,[6국02-05],읽기의 중요성과 가치 를 인식하기,읽기의 중요성과 가치를 인식하고 긍정적인 읽기 동기를 바탕으로 읽기 활동에 자발적이고 주도적으로 지속해서 참여할 수 있다.,긍정적인 읽기 동기를 형성하며 읽기 활동에 적극적이고 꾸준하게 참여할 수 있다.,읽기 활동의 의미를 인식하고 읽기 활동에 참여할 수 있다.
