교과,학년군,성취기준코드,평가요소,상,중,하
도덕,3-4학년군,[4도02-02],타인과의 관계,친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에기반한 도덕적 관계를 맺을 수 있는 방안을 다각도로 탐색한다.,친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에기반한 도덕적 관계를 맺을 수 있는 방안을 탐색한다.,친구 사이의 배려에 대한 이해를 바탕으로 배려에 기반한 도덕적 관계를맺을 수 있는 방안에 관심을 가진다.
도덕,3-4학년군,[4도03-01],사회⋅공동체와의 관계,불공정의 사례를 다각도로 탐구하고 일상생활에서 공정의 가치를 추구하는 활동을 통해 적극적인 실천 의지를 가진다.,불공정의 사례를 탐구하고 일상생활에서 공정의 가치를 추구하는 활동을통해 실천 의지를 가진다.,불공정의 사례를 인식하고 일상생활에서 공정의 가치를 추구하는 활동에관심을 가진다.
도덕,3-4학년군,[4도03-02],사회⋅공동체와의 관계,디지털 사회에서 발생하는 다양한 문제를 살펴보고 해결 방안을 다각도로탐구하여 정보통신 윤리에 대한 민감성을 가진다.,디지털 사회에서 발생하는 문제를 살펴보고 해결 방안을 탐구하여 정보통신 윤리에 대한 민감성을 가진다.,디지털 사회에서 발생하는 문제를 살펴보고 해결 방안에 관심을 가지며정보통신 윤리에 대한 민감성을 기르고자 노력한다.
도덕,3-4학년군,[4도04-01],자연과의 관계,다양한 생명 경시 사례를 조사하고 문제 해결 방법을 다각도로 탐구함으로써 생명의 소중함을 포괄적으로 이해한다.,생명 경시 사례를 조사하고 문제 해결 방법을 탐구함으로써 생명의 소중함을 이해한다.,생명 경시 사례에 관심을 가짐으로써 생명의 소중함을 단편적으로 이해한다.
수학,3-4학년군,[4수01-06],수와 연산,"나누는 수가 한 자리 수인 나눗셈을 계산하여 몫과 나머지를 구하고, 나눗셈에서 몫과 나머지의 의미와 계산 원리를 설명할 수 있다.","나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고, 그 계산을하여 몫과 나머지를 구할 수 있다.",안내된 절차에 따라 나누는 수가 한 자리 수인 나눗셈을 하여 몫과 나머지를 구할 수 있다.
수학,3-4학년군,[4수01-08],수와 연산,"자연수의 덧셈, 뺄셈, 곱셈, 나눗셈에서 계산 결과를 어림하며, 어림셈을이용하여 계산 결과가 타당한지를 확인하고, 실생활 문제를 해결할 수있다.","자연수의 덧셈, 뺄셈, 곱셈, 나눗셈에서 계산 결과를 어림하며, 어림셈을이용하여 계산 결과가 타당한지를 확인할 수 있다.","안내된 절차에 따라 간단한 자연수의 덧셈, 뺄셈, 곱셈, 나눗셈의 계산결과를 어림할 수 있다.󰊶분수성취기준성취기준별 성취수준"
수학,3-4학년군,[4수01-09],수와 연산,"양의 등분할을 이용하여 분수의 필요성과 의미를 설명하고, 분수를 읽고쓸 수 있다.","양의 등분할을 통하여 분수의 필요성과 의미를 알고, 분수를 읽고 쓸 수있다.",안내된 절차에 따라 분모와 분자를 구별하여 분수를 읽고 쓸 수 있다.
수학,3-4학년군,[4수01-10],수와 연산,"단위분수, 진분수, 가분수, 대분수의 관계를 설명하고, 가분수를 대분수로, 대분수를 가분수로 나타낼 수 있다.","단위분수, 진분수, 가분수, 대분수를 알고, 가분수를 대분수로, 대분수를가분수로 나타낼 수 있다.","안내된 절차에 따라 단위분수, 진분수, 가분수, 대분수를 구분하고, 가분수를 대분수로, 대분수를 가분수로 나타낼 수 있다."
수학,3-4학년군,[4수01-11],수와 연산,"분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고, 그 방법을 설명할수 있다.","분모가 같은 분수끼리, 단위분수끼리 크기를 비교할 수 있다.","구체물이나 그림을 보고 분모가 같은 분수끼리, 단위분수끼리 크기를 직관적으로 비교할 수 있다.󰊷소수성취기준성취기준별 성취수준"
수학,3-4학년군,[4수01-12],수와 연산,"분모가 10인 진분수를 소수 한 자리 수로 나타내고 읽고 쓰며, 실생활에서 소수가 활용되는 사례를 찾아 소수의 필요성을 말할 수 있다.","분모가 10인 진분수를 소수 한 자리 수로 나타내고 읽고 쓰며, 실생활에서 소수가 활용되는 사례를 찾을 수 있다.","임을 알고, 소수 한 자리 수를 읽고 쓸 수 있다."
